route_id,origin,destination,total_passengers,weight
AURANGABAD-MUMBAI,AURANGABAD,MUMBAI,100135.0,0.001018
GOA-INDORE,GOA,INDORE,97634.0,0.000993
JAMNAGAR-MUMBAI,JAMNAGAR,MUMBAI,94020.0,0.000956
MADURAI-MUMBAI,MADURAI,MUMBAI,92871.0,0.000944
AGARTALA-DELHI,AGARTALA,DELHI,90694.0,0.000922
DELHI-GAYA,DELHI,GAYA,90019.0,0.000915
GUWAHATI-SILCHAR,GUWAHATI,SILCHAR,88905.0,0.000904
BAGDOGRA-CHENNAI,BAGDOGRA,CHENNAI,88291.0,0.000898
KOZHIKODE-MUMBAI,KOZHIKODE,MUMBAI,87548.0,0.00089
BENGALURU-SHIRDI,BENGALURU,SHIRDI,86582.0,0.00088
GORAKHPUR-HYDERABAD,GORAKHPUR,HYDERABAD,85401.0,0.000868
GOA-JAIPUR,GOA,JAIPUR,85078.0,0.000865
MUMBAI-VIJAYWADA,MUMBAI,VIJAYWADA,83526.0,0.000849
HYDERABAD-SHIRDI,HYDERABAD,SHIRDI,82783.0,0.000842
PUNE-VARANASI,PUNE,VARANASI,82776.0,0.000842
DELHI-DHARAMSALA,DELHI,DHARAMSALA,82364.0,0.000838
BENGALURU-JODHPUR,BENGALURU,JODHPUR,81054.0,0.000824
KOLKATA-NAGPUR,KOLKATA,NAGPUR,80641.0,0.00082
DELHI-JHARSUGUDA,DELHI,JHARSUGUDA,79145.0,0.000805
GOA-RAIPUR,GOA,RAIPUR,79126.0,0.000805
GOA-SURAT,GOA,SURAT,79111.0,0.000804
AIZAWL-DELHI,AIZAWL,DELHI,78263.0,0.000796
AHMEDABAD-VARANASI,AHMEDABAD,VARANASI,77964.0,0.000793
DIMAPUR-GUWAHATI,DIMAPUR,GUWAHATI,77758.0,0.000791
AHMEDABAD-DEHRADUN,AHMEDABAD,DEHRADUN,77401.0,0.000787
KOLKATA-SURAT,KOLKATA,SURAT,77433.0,0.000787
PATNA-PUNE,PATNA,PUNE,77327.0,0.000786
